,model,mse,ndcg,simid
0,sg_wmf_obs,1.5712759177571332,0.7585885796244792,11.0
1,-1,-1.0,-1.0,11.0
2,sg_wmf_cau_user_add,1.5256653914693403,0.7575343151308731,11.0
3,sg_wmf_cau_const_add,1.4495198480037066,0.784596778806258,11.0
4,sg_pmf_obs,1.4715433890476886,0.7607659579534192,11.0
5,-1,-1.0,-1.0,11.0
6,sg_pmf_cau_user_add,1.4458077426400695,0.7734205289197482,11.0
7,sg_pmf_cau_const_add,1.427297548836968,0.7749078898132199,11.0
8,sg_pf_obs,2.4615255376645773,0.6535148903051635,11.0
9,sg_pf_cau_ips,2.4558990987448537,0.6386736061461478,11.0
10,sg_pf_cau_user_add,1.9028079265814792,0.7030365375128951,11.0
11,sg_pf_cau_const_add,1.9559420755304564,0.6830880539831662,11.0
12,sg_wmf_obs,1.6093064653055422,0.7619463585829561,12.0
13,-1,-1.0,-1.0,12.0
14,sg_wmf_cau_user_add,1.5466307549028604,0.7788933062868242,12.0
15,sg_wmf_cau_const_add,1.4692918604758085,0.7936282297512145,12.0
16,sg_pmf_obs,1.5036457178695386,0.7662363043703087,12.0
17,-1,-1.0,-1.0,12.0
18,sg_pmf_cau_user_add,1.4568658465310231,0.7780430896647482,12.0
19,sg_pmf_cau_const_add,1.4244933484894908,0.7838323383849835,12.0
20,sg_pf_obs,3.5272355104792146,0.6647235827290606,12.0
21,sg_pf_cau_ips,264.03341851409147,0.6576349901081276,12.0
22,sg_pf_cau_user_add,1.9988699654694009,0.7153406818020861,12.0
23,sg_pf_cau_const_add,2.034796032930026,0.6947778533185207,12.0
24,sg_wmf_obs,1.5967941912747885,0.7540006791492281,13.0
25,-1,-1.0,-1.0,13.0
26,sg_wmf_cau_user_add,1.5456720869289282,0.7657667732560626,13.0
27,sg_wmf_cau_const_add,1.4634537208161549,0.7792430785202711,13.0
28,sg_pmf_obs,1.4766873387150663,0.750569253788133,13.0
29,-1,-1.0,-1.0,13.0
30,sg_pmf_cau_user_add,1.4310551194370675,0.7682846530875104,13.0
31,sg_pmf_cau_const_add,1.4053814219536698,0.7706835302529149,13.0
32,sg_pf_obs,267.63478553776457,0.6586382139078958,13.0
33,sg_pf_cau_ips,26.89638288116535,0.6509644281990125,13.0
34,sg_pf_cau_user_add,1.885205001717832,0.6956810672475683,13.0
35,sg_pf_cau_const_add,1.901041691016,0.6995554691688671,13.0
36,sg_wmf_obs,1.6299393120515095,0.7436652911464837,14.0
37,-1,-1.0,-1.0,14.0
38,sg_wmf_cau_user_add,1.5614078819131465,0.7623333064912261,14.0
39,sg_wmf_cau_const_add,1.482042242412681,0.786013002006385,14.0
40,sg_pmf_obs,1.4883731530359707,0.7547757572141325,14.0
41,-1,-1.0,-1.0,14.0
42,sg_pmf_cau_user_add,1.4542408930332933,0.7648473259035515,14.0
43,sg_pmf_cau_const_add,1.4244194336948248,0.7756607259351976,14.0
44,sg_pf_obs,267.25140706744827,0.6580203722523327,14.0
45,sg_pf_cau_ips,2.42444294273966,0.6538716232449774,14.0
46,sg_pf_cau_user_add,1.9327705374673363,0.6933610601441009,14.0
47,sg_pf_cau_const_add,1.9619746064929744,0.6866152164695243,14.0
48,sg_wmf_obs,1.6549307748759643,0.7507424484372681,15.0
49,-1,-1.0,-1.0,15.0
50,sg_wmf_cau_user_add,1.6002381009764144,0.7609794690277575,15.0
51,sg_wmf_cau_const_add,1.5229383981060234,0.7858079005975556,15.0
52,sg_pmf_obs,1.5367495776583764,0.7606528137067172,15.0
53,-1,-1.0,-1.0,15.0
54,sg_pmf_cau_user_add,1.4957146304137812,0.77113196727195,15.0
55,sg_pmf_cau_const_add,1.4810181357579295,0.7753549619381629,15.0
56,sg_pf_obs,2.53866032714768,0.6622818191660361,15.0
57,sg_pf_cau_ips,26.49045831938661,0.6518115266109618,15.0
58,sg_pf_cau_user_add,2.011293271272929,0.6979847887046623,15.0
59,sg_pf_cau_const_add,2.0082823172878768,0.6792130027047014,15.0
60,sg_wmf_obs,1.7246005588944338,0.7632787007198022,16.0
61,-1,-1.0,-1.0,16.0
62,sg_wmf_cau_user_add,1.665006355742945,0.7805726948074188,16.0
63,sg_wmf_cau_const_add,1.5771110571772875,0.8043162291222401,16.0
64,sg_pmf_obs,1.5937279126744226,0.7655951217717785,16.0
65,-1,-1.0,-1.0,16.0
66,sg_pmf_cau_user_add,1.5601639759622183,0.7783705635015903,16.0
67,sg_pmf_cau_const_add,1.5327780331714431,0.7881131570475793,16.0
68,sg_pf_obs,25.25108871384029,0.6669746680451509,16.0
69,sg_pf_cau_ips,26.32081499598577,0.6729272901776611,16.0
70,sg_pf_cau_user_add,2.098045184604061,0.7317888345930129,16.0
71,sg_pf_cau_const_add,2.186414784259826,0.7026584494743601,16.0
72,sg_wmf_obs,1.7262244827924018,0.7716527367238467,17.0
73,-1,-1.0,-1.0,17.0
74,sg_wmf_cau_user_add,1.658199698353827,0.7955479326591481,17.0
75,sg_wmf_cau_const_add,1.5782309572592863,0.8093244262285998,17.0
76,sg_pmf_obs,1.5986546803530897,0.7826410543477758,17.0
77,-1,-1.0,-1.0,17.0
78,sg_pmf_cau_user_add,1.5460522492841724,0.7918534550099389,17.0
79,sg_pmf_cau_const_add,1.5194085548758958,0.8029623678876244,17.0
80,sg_pf_obs,2.8528407451707425,0.6797644709240123,17.0
81,sg_pf_cau_ips,3.37880740839778,0.6797425286440025,17.0
82,sg_pf_cau_user_add,2.191199008295961,0.7261975959835435,17.0
83,sg_pf_cau_const_add,2.142392182375213,0.7216316413060908,17.0
84,sg_wmf_obs,1.6825828950012187,0.7560597762589105,18.0
85,-1,-1.0,-1.0,18.0
86,sg_wmf_cau_user_add,1.6315552012710048,0.7725770436965185,18.0
87,sg_wmf_cau_const_add,1.5647920573981404,0.787430950578869,18.0
88,sg_pmf_obs,1.5647224734087868,0.7603849917121448,18.0
89,-1,-1.0,-1.0,18.0
90,sg_pmf_cau_user_add,1.5207264157781482,0.7698428693257998,18.0
91,sg_pmf_cau_const_add,1.4865949700645706,0.7775814624233124,18.0
92,sg_pf_obs,265.9250753363576,0.6683766613781106,18.0
93,sg_pf_cau_ips,2.669936433634037,0.6610343763046405,18.0
94,sg_pf_cau_user_add,2.04118930308881,0.7065052056187061,18.0
95,sg_pf_cau_const_add,2.1005482258147423,0.692362074246048,18.0
96,sg_wmf_obs,1.6548949210172936,0.7405082870037493,19.0
97,-1,-1.0,-1.0,19.0
98,sg_wmf_cau_user_add,1.5861502628112618,0.7562678814217958,19.0
99,sg_wmf_cau_const_add,1.5251229545999354,0.7698904004230763,19.0
100,sg_pmf_obs,1.5498730007237569,0.7492108350000432,19.0
101,-1,-1.0,-1.0,19.0
102,sg_pmf_cau_user_add,1.4931166724058975,0.7612053033537104,19.0
103,sg_pmf_cau_const_add,1.4764164113611171,0.7628459119700914,19.0
104,sg_pf_obs,3.676772907483792,0.6578357929524509,19.0
105,sg_pf_cau_ips,3.6484021934591833,0.6580040088559711,19.0
106,sg_pf_cau_user_add,2.020215509947114,0.6911804217020889,19.0
107,sg_pf_cau_const_add,2.0204600593095474,0.6774561608512749,19.0
108,sg_wmf_obs,1.7229033359449564,0.7711285874837804,20.0
109,-1,-1.0,-1.0,20.0
110,sg_wmf_cau_user_add,1.6622907135876874,0.7822474805975463,20.0
111,sg_wmf_cau_const_add,1.614681412670742,0.7961179812193273,20.0
112,sg_pmf_obs,1.5818244378499486,0.7703012899882055,20.0
113,-1,-1.0,-1.0,20.0
114,sg_pmf_cau_user_add,1.5386989794083907,0.7788774011523231,20.0
115,sg_pmf_cau_const_add,1.4940693897152306,0.7980723495465003,20.0
116,sg_pf_obs,261.86018920271783,0.6722040949279182,20.0
117,sg_pf_cau_ips,264.5204863466333,0.6756849495591009,20.0
118,sg_pf_cau_user_add,2.066720059001057,0.7126067536696497,20.0
119,sg_pf_cau_const_add,2.1632203609364606,0.6968474442322521,20.0
120,sg_wmf_obs,1.646084013621702,0.7449820248244989,21.0
121,-1,-1.0,-1.0,21.0
122,sg_wmf_cau_user_add,1.5861641089726513,0.7560967664873283,21.0
123,sg_wmf_cau_const_add,1.514691459026815,0.7778315894310341,21.0
124,sg_pmf_obs,1.5133018184169484,0.7546918104835466,21.0
125,-1,-1.0,-1.0,21.0
126,sg_pmf_cau_user_add,1.4857493502453631,0.7646309841640037,21.0
127,sg_pmf_cau_const_add,1.4490031913022807,0.7684629532476037,21.0
128,sg_pf_obs,266.996669890185,0.6579557116960899,21.0
129,sg_pf_cau_ips,2.3526283596901125,0.6593469995628537,21.0
130,sg_pf_cau_user_add,1.8945730408064407,0.7027955896877711,21.0
131,sg_pf_cau_const_add,1.9791596698051641,0.679211935273848,21.0
